idx,Title of the Solution,Type of the Solution,Affected Sector,Description of the solution,Socio-economic effects,Type of Measure--1. active measures (direct measures for reduction of air pollution),Type of Measure--2. policy/regulation measure,Type of Measure--3. mitigation measures,Type of Measure--4. awareness raising and knowladge sharing,Type of sub-measure--1. active measures (direct measures for reduction of air pollution),Type of sub-measure--2. policy/regulation measure,Type of sub-measure--3. mitigation measures,Type of sub-measure--4. awareness raising and knowladge sharing,Type of sub-measure--5. (none),Who led the solution--civil society organization,Who led the solution--environmental ngos,Who led the solution--households/individuals,Who led the solution--international development agencies,Who led the solution--international organization,Who led the solution--local government,Who led the solution--national government,Who led the solution--other,Who led the solution--other public institution,Who led the solution--private sector,Who led the solution--professional organization,Who led the solution--schools,Who led the solution--students,Who led the solution--teachers,Who led the solution--academia,Timescale of implementation--long-term (5 and above),Timescale of implementation--medium-term (2-4 years),Timescale of implementation--ongoing (data collection and advocacy are continuous processes),Timescale of implementation--short-term (up to 1 year),Timescale of implementation--varies,Other Notes,Location--1,Location--2,Location--3,Location--4,Location--5,Location--6,Location--7,Location--8,Location--9,Location--10,Location--11,Location--12,Location--13,Tags for the solution--1,Tags for the solution--2,Tags for the solution--3,Tags for the solution--4,Tags for the solution--5,SDG(s)--1,SDG(s)--2,SDG(s)--3,SDG(s)--4,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,location-5-lat,location-5-lng,location-6-lat,location-6-lng,location-7-lat,location-7-lng,location-8-lat,location-8-lng,location-9-lat,location-9-lng,location-10-lat,location-10-lng,location-11-lat,location-11-lng,location-12-lat,location-12-lng,location-13-lat,location-13-lng,auto_thematic-tag-1,auto_thematic-tag-2,auto_thematic-tag-3,auto_thematic-tag-4,auto_thematic-tag-5,auto_thematic-tag-6,auto_thematic-tag-7,auto_thematic-tag-8,auto_thematic-tag-9,auto_thematic-tag-10,auto_thematic-tag-11,auto_thematic-tag-12,auto_thematic-tag-13,auto_thematic-tag-14,auto_thematic-tag-15,auto_thematic-tag-16,auto_thematic-tag-17,auto_thematic-tag-18,auto_thematic-tag-19,auto_thematic-tag-20,auto_thematic-tag-21,auto_thematic-tag-22,auto_thematic-tag-23,auto_thematic-tag-24,auto_thematic-tag-25,auto_thematic-tag-26,auto_thematic-tag-27,auto_thematic-tag-28,auto_thematic-tag-29,auto_thematic-tag-30,auto_thematic-tag-31,auto_thematic-tag-32,auto_thematic-tag-33,auto_thematic-tag-34,auto_thematic-tag-35,auto_thematic-tag-36,auto_thematic-tag-37,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4
51,CityTree,Design,Improve Air Quality,"A moss filter with integrated ventilation, an irrigation system and sensors to capture environmental data. The moss cultures literally eat particulate matter and nitrogen dioxide out of the air‚Äîoffsetting many tonnes of CO2 equivalents per year.",improve city air,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"The CityTrees can already be found in Norway, France, Germany, Belgium, Macedonia and Hong Kong.
https://greencitysolutions.de/en/clean-air-concept/","52.5108638, 13.3989421",,,,,,,,,,,,,Urban resilience,Sustainable cities,Ecosystem Services,Resilient Cities,NbS,Sustainable cities and communities,Climate action,Life on land,,52.5108638,13.3989421,,,,,,,,,,,,,,,,,,,,,,,,,planted,réservoir,paisaje,reservoir,waters,ecological,eco,biowaste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban resilience,Sustainable Cities,Resilient Cities,Ecosystem Services,NbS,Climate action,Sustainable cities and communities,Life on land,
52,Transportation Fund for Clean Air,Financial tool,Transport,"Support bicycle, pedestrian, and other transportation projects that help clean the air by reducing motor vehicle emissions by dedicating approximately $800,000 annually to projects across the city. 
The revenue comes from a $4 per vehicle surcharge collected by the California DMV on motor vehicle registrations in the nine-county Bay Area region.",reduce motor vehicle emissions,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"37.7792588, -122.4193286",,,,,,,,,,,,,Transportation,Financial support,Financial tool,,,Good health and well-being,Sustainable cities and communities,Climate action,,37.7792588,-122.4193286,,,,,,,,,,,,,,,,,,,,,,,,,older,analyse,neighborhood,translation,political,regulations,керівник,participate,money,purchase,efficient,politicians,neighbourhood,business,huge,language,demographics,formalization,required,restrictions,excels,day,financières,ride,month,administration,municipales,financial,decades,improving,,,,,,,,Financial tool,Financial support,transportation,,,,,,
53,,"Financial tool, Capacity Building, Subsidy",Households,"A project aims to improve the situation by reducing coal consumption in the city‚Äôs ger district, as the use of coal for heating homes in these areas is the main source of the city‚Äôs air pollution.


The project's objectives include: (1) promoting sustainable consumption patterns and behaviours in the individual housing sector of Mongolia through energy efficiency advisory and financial intermediation; (2) reducing pollution in Ulaanbaatar‚Äôs Ger areas through improved energy efficiency in housing, awareness raising, technical training and technological support to MSMEs and households.","The project estimates that over the next four years, 1.000 EE houses will be retrofitted, saving 1.600 mT of coal and avoiding the emission of 6.000 TeqCO2. Improve the health of Ulaanbaatar‚Äôs residents. Parents can invest more in their children‚Äôs future by saving money on heating costs.",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Awareness raising and knowladge sharing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://international-partnerships.ec.europa.eu/news-and-events/stories/tackling-air-pollution-ulaanbaatar-smart-energy-efficient-solutions_en,"47.9184676, 106.9177016",,,,,,,,,,,,,Households,Housing,Building,Energy efficiecy,awareness raising,Sustainable cities and communities,Responsible consumption and production,Climate action,,47.9184676,106.9177016,,,,,,,,,,,,,,,,,,,,,,,,,complicated,populated,publication,planted,demographics,cooking,required,restrictions,émissions,cultivation,cooled,collaboration,problemes,sd,project,ecological,solución,accountability,bonfires,meals,blogs,foods,coal,bee,problems,permits,sdgs,pollution,regulations,respectful,slabs,participate,dcacafbdddbfec,ccaefebcadadcbd,ensuring,neighbourhood,,Energy efficiecy,housing,Building,awareness raising,households,Sustainable cities and communities,Responsible consumption and production,Climate action,
54,Replace a gas stove with an electric stove,"Initiative, Subsidy",Households,"If you are a Massachusetts resident, you might qualify for a $500 rebate from Mass Save on a swap this year from a gas to an induction stove.","improve health and time savings for households, preserve forests and associated ecosystem services, and reduce emissions that contribute to global climate change.",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Benefits and Costs of Improved Cookstoves: Assessing the Implications of Variability in Health, Forest and Climate Impacts:
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3278415/","42.3788774, -72.032366",,,,,,,,,,,,,Financial incentive,Indoor air pollution,Clean cooking and heating,Subsidy,,Affordable and clean energy,Climate action,,,42.3788774,-72.032366,,,,,,,,,,,,,,,,,,,,,,,,,food,political,older,politicians,analyse,foods,regulations,pollution,month,observations,administration,measuring,decades,participate,dcacafbdddbfec,populated,contexte,demographics,cooking,required,restrictions,émissions,desired,cooled,excels,day,,,,,,,,,,,,Subsidy,Clean cooking and heating,Financial incentive,Indoor air pollution,,Affordable and clean energy,Climate action,,
55,New energy vehicles,"Green Taxation, Financial Incentives, Subsidy",Transport,"Introduced a series of policies such as purchase subsidies, tax exemptions, charging infrastructure and exemptions from the lottery to promote the sale of new energy vehicles and reduce vehicle emissions.","Reduce the use of traditional fossil energy, reduce air pollution, adjust the national energy structure, promote the upgrading of industrial structure",Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://baijiahao.baidu.com/s?id=1784134821082022400&amp;wfr=spider&amp;for=pc,"35.000074, 104.999927",,,,,,,,,,,,,Air pollution,Sustainable transport,Subsidy,,,Good health and well-being,Sustainable cities and communities,Climate action,,35.000074,104.999927,,,,,,,,,,,,,,,,,,,,,,,,,pay,populated,demographics,émissions,cooled,excels,day,financières,taxes,month,observations,administration,improve,measuring,decades,improving,analyse,competitions,pollution,political,participate,improvement,money,purchase,efficient,politicians,logging,business,older,huge,,,,,,,,Subsidy,air pollution,Sustainable Transport,,,,,,
56,,Regulation,"Industry, Agriculture, Transport","Policy designed to control air pollution in the fall and winter seasons in two major cities, Beijing and Tianjin, and prefecture-level cities nearby.",Improve Air Quality,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Main tasks:


(1) Promote the major projects of the ""14th Five-Year Plan"": promote the ultra-low emission renovation projects in the iron and steel, cement and coking industries; promote the comprehensive treatment of VOCs; and promote the treatment of loose coal.


(2) Promote the comprehensive treatment of boilers and kilns: promote the elimination and renewal of outdated coal-fired boilers and kilns; promote the comprehensive treatment of boilers and kilns; and strengthen the control and management of disorganised emissions.


(3) Continuing to carry out comprehensive treatment of mobile sources: accelerating the adjustment of transport structure; promoting the elimination and renewal of old and high-emission vehicles; increasing the supervision of mobile source emissions to meet the standards; strengthening the comprehensive enforcement of automotive oil products.


(4) Enhance the management level of air surface sources: strengthen the comprehensive control of dust; strengthen the comprehensive utilisation of straw and the ban on burning; and steadily promote the control of ammonia emissions from livestock and poultry farming.


(5) Effective response to heavily polluted weather: strengthen the regional joint prevention and control; the implementation of performance rating differentiated control.


(6) Creating a number of atmospheric management benchmark enterprise.","35.000074, 104.999927",,,,,,,,,,,,,Air Quality,,,,,Good health and well-being,Affordable and clean energy,Sustainable cities and communities,Climate action,35.000074,104.999927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Quality,,,,,Climate action,Good health and well-being,Affordable and clean energy,Sustainable cities and communities
57,,"Policy intervention, Financial Incentives, Financial tool",Environment,"Mechanism aiming to use economic leverage to mobilize the incentives of local governments at all levels to tackle pollution. Based on the year-on-year changes in ambient air quality in each county and district, implementing assessment rewards and penalties and ecological compensation.

The improvement of ambient air quality in municipalities is assessed on a quarterly basis centred on PM2.5, and the amount of eco-compensation funds received by each municipality is determined accordingly. Municipalities with deteriorating air quality are required to pay eco-compensation funds to the provincial level to compensate municipalities with improving air quality.",Improve air quality,FALSE,Policy/regulation measure,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"1. The promotion of the mechanism is closely related to the development of green finance. As a market-based method, the mechanism forces local governments to strengthen environmental protection, which will also increase enterprises' green investment for cleaner production.


2. Ecological compensation in air pollution governance: China's efforts, challenges, and potential solutions. Available at: https://www-sciencedirect-com.ludwig.lub.lu.se/science/article/pii/S1057521921000442?via%3Dihub#fn0010.","32, 117",,,,,,,,,,,,,Compensation Policy,Remedy,,,,Climate action,,,,32,117,,,,,,,,,,,,,,,,,,,,,,,,,ccaefebcadadcbd,regulations,participate,dcacafbdddbfec,politicians,neighbourhood,actuellement,entrenamiento,biowaste,populated,demographics,required,restrictions,émissions,innovationchallenge,cooled,problemes,sd,activités,project,eco,ecological,solución,administration,municipales,complicated,problems,permits,neighborhood,sdgs,pollution,political,,,,,,Remedy,Compensation Policy,,,,Climate action,,,
58,Using nano-additives on buildings,Construction,Construction,"Nano-additives are nano-particles added to another material to improve its properties. 
One of the most commonly used nano-additives is nano titanium dioxide or nano-TiO2. Nano-TiO2 molecules can absorb ultraviolet radiation from the sun to decompose organic molecules, microorganisms, and nitric oxide pollutants. The result of this decomposition is harmless molecules such as water (H2O) and carbon dioxide (CO2).",Improve air quality,FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"It can remove smog from 1,000 cars per day.","19.4326296, -99.1331785",,,,,,,,,,,,,Urban Greening,,,,,Sustainable cities and communities,Climate action,,,19.4326296,-99.1331785,,,,,,,,,,,,,,,,,,,,,,,,,day,language,isolated,demographics,harm,formalization,restrictions,excels,liter,regions,month,observations,larger,tomorrow,administration,municipales,improve,measuring,decades,analyse,weekly,neighborhood,translation,political,керівник,participate,accessible,public,politicians,neighbourhood,threats,older,huge,varieties,,,,Urban Greening,,,,,Climate action,Sustainable cities and communities,,
59,Building anti-smog towers,Infrastructure,Infrastracture construction,Buildings with the purpose of removing pollution particles by sucking in polluted air at the top and releasing clean air at the bottom. It can reduce PM2.5 (fine suspended particles) concentrations by between 10 and 19 per cent over an area of 10 square kilometres.,Improve air quality,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"experts say smog towers are ineffective in reducing pollution

Read more at:
http://timesofindia.indiatimes.com/articleshow/104566966.cms?utm_source=contentofinterest&amp;utm_medium=text&amp;utm_campaign=cppst","28.6138954, 77.2090057",,,,,,,,,,,,,Urban Greening,,,,,Sustainable cities and communities,Climate action,,,28.6138954,77.2090057,,,,,,,,,,,,,,,,,,,,,,,,,ampoule,politicians,neighbourhood,والاجتماعية,improvement,ccaefebcadadcbd,populated,demographics,émissions,cooled,electric,excels,observations,administration,municipales,improve,measuring,improving,analyse,caebfdbdacdca,neighborhood,pollution,political,participate,dcacafbdddbfec,,,,,,,,,,,,,Urban Greening,,,,,Climate action,Sustainable cities and communities,,
60,,Technology,"Infrastracture construction, Monitoring","Technology for air pollution real-time data acquisition in public regions, fit for outdoor air pollution minoring applications.. It can be applied in various scales of outdoor air pollution monitoring deployments to meet the needs for improved cost-effectiveness, energy-saving, and adequate coverage.",Continuous monitoring of air pollutants in public spaces,Active measures (direct measures for reduction of air pollution),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Proposed solution, still waiting to be implemented in the future.

Here is the link to the similar technology in academic paper published: https://link.springer.com/article/10.1007/s12652-022-03704-4#:~:text=The%20proposed%20cloud%2D%20assisted%20mesh,an%20aggregation%E2%80%93aware%20multihop%20cooperative 

 And the experiment was carried out simultaneously within the SRMIST Campus, Chennai, India to ratify the reliability of the proposed CMSNS.","13.0836939, 80.270186",,,,,,,,,,,,,Technology in monitoring air pollution,,,,,Climate action,,,,13.0836939,80.270186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology in monitoring air pollution,,,,,Climate action,,,
61,Photocatalytic concrete pavements,Infrastructure,Transportation,Photocatalytic concrete pavements is to curb air pollution problem due to vehicle emissions. The past studies have shown that up to 35‚Äì40% of NOx concentration was reduced in the presence of photocatalytic concrete pavements.,"Reduce a number of air contaminants such as NOx and VOC‚Äôs, especially at sites with a high level of pollution:",FALSE,FALSE,Mitigation measure,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Photocatalytic concrete is a special concrete, which possess photocatalytic property that can provide self-cleaning characteristics to the concrete. The photocatalytic concrete has the ability to reduce the concentration of harmful gases such as NOx.","51.2211097, 4.3997081",,,,,,,,,,,,,Urban Greening,,,,,Sustainable cities and communities,Climate action,,,51.2211097,4.3997081,,,,,,,,,,,,,,,,,,,,,,,,,ride,carnicería,demographics,harm,required,restrictions,gasoline,cooled,excels,liter,chemicals,observations,larger,rocks,administration,improve,measuring,improving,analyse,roads,political,photo,slabs,participate,rainstorm,improvement,terrain,politicians,threats,huge,varieties,pictures,,,,,,Urban Greening,,,,,Sustainable cities and communities,Climate action,,
